240	-90  	     1	-6.56e-08	 -1.73	3.79e-08	-3.2e-15	1.47e-07	  2.24	-8.46e-08	-1.85e-15	6.11e-29	8.48e-15	-2.45e-07	 -2.65	1.42e-07	4.89e-15	-1.75e-22	
250	-90  	     1	-7.11e-08	 -1.73	2.59e-08	-2.38e-15	1.59e-07	  2.24	-5.79e-08	-2.83e-15	8.73e-23	6.29e-15	-2.66e-07	 -2.65	9.69e-08	7.5e-15	-1.51e-22	
260	-90  	     1	-7.46e-08	 -1.73	1.31e-08	-1.27e-15	1.67e-07	  2.24	-2.94e-08	-3.48e-15	1.51e-22	3.35e-15	-2.79e-07	 -2.65	4.92e-08	9.2e-15	-8.73e-23	
270	-90  	     1	-7.57e-08	 -1.73	-9.03e-16	8.82e-23	1.69e-07	  2.24	2.02e-15	-3.7e-15	1.75e-22	-2.33e-22	-2.83e-07	 -2.65	-3.38e-15	9.79e-15	6.25e-30	
280	-90  	     1	-7.46e-08	 -1.73	-1.31e-08	1.27e-15	1.67e-07	  2.24	2.94e-08	-3.48e-15	1.51e-22	-3.35e-15	-2.79e-07	 -2.65	-4.92e-08	9.2e-15	8.73e-23	
290	-90  	     1	-7.11e-08	 -1.73	-2.59e-08	2.38e-15	1.59e-07	  2.24	5.79e-08	-2.83e-15	8.73e-23	-6.29e-15	-2.66e-07	 -2.65	-9.69e-08	7.5e-15	1.51e-22	
300	-90  	     1	-6.56e-08	 -1.73	-3.79e-08	3.2e-15	1.47e-07	  2.24	8.46e-08	-1.85e-15	4.86e-29	-8.48e-15	-2.45e-07	 -2.65	-1.42e-07	4.89e-15	1.75e-22	
310	-90  	     1	-5.8e-08	 -1.73	-4.87e-08	3.64e-15	1.3e-07	  2.24	1.09e-07	-6.43e-16	-8.73e-23	-9.64e-15	-2.17e-07	 -2.65	-1.82e-07	1.7e-15	1.51e-22	
320	-90  	     1	-4.87e-08	 -1.73	-5.8e-08	3.64e-15	1.09e-07	  2.24	1.3e-07	6.43e-16	-1.51e-22	-9.64e-15	-1.82e-07	 -2.65	-2.17e-07	-1.7e-15	8.73e-23	
330	-90  	     1	-3.79e-08	 -1.73	-6.56e-08	3.2e-15	8.46e-08	  2.24	1.47e-07	1.85e-15	-1.75e-22	-8.48e-15	-1.42e-07	 -2.65	-2.45e-07	-4.89e-15	1.03e-28	
340	-90  	     1	-2.59e-08	 -1.73	-7.11e-08	2.38e-15	5.79e-08	  2.24	1.59e-07	2.83e-15	-1.51e-22	-6.29e-15	-9.69e-08	 -2.65	-2.66e-07	-7.5e-15	-8.73e-23	
350	-90  	     1	-1.31e-08	 -1.73	-7.46e-08	1.27e-15	2.94e-08	  2.24	1.67e-07	3.48e-15	-8.73e-23	-3.35e-15	-4.92e-08	 -2.65	-2.79e-07	-9.2e-15	-1.51e-22	
